age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
36,technician,single,secondary,no,3254,yes,no,,27,oct,207,1,-1,0,,yes
39,entrepreneur,married,primary,no,437,yes,no,,27,oct,150,1,-1,0,,yes
58,retired,married,primary,no,3260,no,no,telephone,27,oct,27,1,-1,0,,no
27,entrepreneur,married,secondary,no,2329,no,no,telephone,27,oct,131,1,-1,0,,yes
33,management,married,tertiary,no,431,yes,no,telephone,27,oct,51,1,-1,0,,no
47,management,divorced,tertiary,no,12026,yes,no,telephone,27,oct,251,1,-1,0,,yes
30,admin.,married,secondary,no,1310,no,no,telephone,27,oct,3284,1,-1,0,,no
39,admin.,married,secondary,no,1757,no,no,telephone,28,oct,125,1,-1,0,,yes
57,technician,married,secondary,no,7554,no,no,telephone,28,oct,141,1,-1,0,,yes
38,management,married,tertiary,no,385,yes,no,telephone,28,oct,154,1,-1,0,,yes
43,management,married,secondary,no,107,yes,yes,telephone,28,oct,135,1,-1,0,,yes
34,technician,married,secondary,no,1012,yes,yes,telephone,28,oct,540,1,-1,0,,yes
31,admin.,married,secondary,no,352,no,no,telephone,28,oct,60,1,-1,0,,no
35,management,divorced,tertiary,no,0,yes,no,telephone,29,oct,171,1,-1,0,,yes
58,management,divorced,tertiary,no,372,no,yes,,29,oct,11,1,-1,0,,yes
39,blue-collar,single,,no,3912,yes,no,telephone,29,oct,223,1,-1,0,,no
60,blue-collar,married,secondary,no,1801,no,no,telephone,29,oct,167,1,-1,0,,no
59,management,divorced,tertiary,no,258,yes,no,telephone,29,oct,266,1,-1,0,,yes
35,management,single,tertiary,no,7506,yes,no,,30,oct,248,1,-1,0,,yes
42,technician,divorced,secondary,no,314,yes,no,,30,oct,234,1,-1,0,,yes
43,retired,married,secondary,no,860,no,no,telephone,30,oct,132,1,-1,0,,yes
36,entrepreneur,married,tertiary,no,6,no,no,telephone,30,oct,246,1,-1,0,,no
34,housemaid,married,secondary,no,0,yes,no,,30,oct,154,1,-1,0,,yes
35,blue-collar,single,secondary,no,3623,no,no,telephone,30,oct,160,1,-1,0,,yes
43,self-employed,married,primary,no,0,yes,no,telephone,30,oct,81,1,-1,0,,no
38,admin.,single,secondary,no,2470,no,no,telephone,31,oct,227,1,-1,0,,yes
39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,0,,yes
58,retired,divorced,tertiary,no,3237,no,no,telephone,31,oct,615,1,-1,0,,yes
27,management,single,tertiary,no,185,no,no,cellular,31,oct,18,1,-1,0,,no
34,technician,single,secondary,no,1866,no,no,cellular,4,nov,95,1,-1,0,,no
41,services,married,secondary,no,523,yes,yes,telephone,4,nov,5,1,-1,0,,no
60,management,married,tertiary,no,5041,no,no,telephone,4,nov,399,1,-1,0,,yes
28,management,single,tertiary,no,1335,no,yes,,4,nov,15,1,-1,0,,no
26,technician,single,tertiary,no,172,no,yes,telephone,4,nov,21,1,140,4,other,no
34,entrepreneur,married,tertiary,no,0,yes,no,telephone,4,nov,217,1,-1,0,,no
56,technician,married,secondary,no,6619,yes,no,telephone,4,nov,465,1,-1,0,,yes
34,management,married,tertiary,no,8,yes,no,telephone,5,nov,6,1,-1,0,,no
50,admin.,divorced,secondary,no,237,no,yes,telephone,5,nov,169,1,-1,0,,yes
51,admin.,single,secondary,no,3132,no,no,telephone,5,nov,449,1,176,1,failure,no
26,management,single,tertiary,no,4683,yes,no,telephone,5,nov,5,1,-1,0,,no
31,management,married,tertiary,no,1331,no,no,,5,nov,268,1,-1,0,,yes
37,services,married,secondary,no,1970,yes,no,telephone,5,nov,253,1,-1,0,,yes
44,self-employed,married,secondary,no,706,no,no,,5,nov,204,1,-1,0,,yes
59,retired,divorced,secondary,no,1026,no,no,,5,nov,669,1,-1,0,,yes
43,services,married,secondary,no,94,yes,yes,telephone,5,nov,68,1,-1,0,,no
49,management,married,secondary,no,249,no,no,telephone,6,nov,234,1,-1,0,,yes
48,management,divorced,tertiary,no,15,no,no,,6,nov,88,1,-1,0,,no
34,management,married,tertiary,no,1770,yes,no,,6,nov,26,1,101,11,other,no
30,management,single,tertiary,no,12857,yes,no,cellular,6,nov,150,1,-1,0,,yes
36,admin.,married,secondary,no,3321,yes,no,telephone,6,nov,132,1,-1,0,,no
31,technician,single,tertiary,no,2807,no,no,,8,nov,154,1,-1,0,,yes
28,unemployed,single,tertiary,no,7,no,no,cellular,8,nov,20,1,-1,0,,no
29,management,single,tertiary,no,572,yes,no,telephone,8,nov,319,1,-1,0,,yes
33,management,single,tertiary,no,1956,no,no,telephone,8,nov,76,1,-1,0,,no
40,blue-collar,married,secondary,no,5060,no,no,,9,nov,299,1,-1,0,,yes
43,admin.,single,secondary,no,35,no,no,telephone,9,nov,208,1,-1,0,,no
38,management,married,tertiary,no,1101,yes,no,telephone,9,nov,43,1,-1,0,,no
33,technician,married,secondary,no,1234,no,no,telephone,9,nov,61,1,-1,0,,no
23,admin.,single,secondary,no,40,no,no,telephone,10,nov,1239,1,-1,0,,no
59,technician,married,tertiary,no,6573,yes,no,telephone,10,nov,4918,1,-1,0,,no
38,management,single,tertiary,no,6490,no,no,telephone,10,nov,125,1,-1,0,,no
31,management,married,tertiary,no,163,yes,yes,telephone,10,nov,107,1,-1,0,,no
33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,no
43,admin.,married,secondary,no,2271,no,no,telephone,10,nov,524,1,-1,0,,yes
40,management,single,secondary,no,9916,no,no,telephone,10,nov,98,1,-1,0,,no
48,management,married,tertiary,no,1,no,no,telephone,10,nov,248,1,-1,0,,yes
47,technician,married,secondary,no,0,no,no,,11,nov,74,1,-1,0,,no
31,technician,married,secondary,no,585,yes,no,telephone,11,nov,133,1,-1,0,,no
33,unemployed,married,secondary,no,456,no,no,telephone,11,nov,119,1,-1,0,,no
34,management,married,tertiary,no,676,no,no,telephone,11,nov,486,1,-1,0,,yes
28,self-employed,single,tertiary,no,160,no,no,,11,nov,158,1,-1,0,,yes
34,admin.,married,tertiary,no,899,yes,no,,12,nov,114,1,170,3,failure,yes
47,blue-collar,married,secondary,no,1230,yes,no,telephone,12,nov,378,1,-1,0,,yes
22,technician,single,secondary,no,333,no,yes,telephone,12,nov,129,1,-1,0,,no
37,technician,married,secondary,no,1016,yes,yes,telephone,12,nov,24,1,-1,0,,no
26,management,married,tertiary,no,52,no,yes,telephone,12,nov,238,1,-1,0,,no
30,admin.,married,secondary,no,873,yes,no,telephone,12,nov,119,1,167,3,success,no
43,blue-collar,divorced,primary,no,219,no,no,telephone,13,nov,138,1,-1,0,,no
33,admin.,single,secondary,no,206,no,no,telephone,13,nov,168,1,-1,0,,no
40,blue-collar,married,secondary,no,718,yes,yes,telephone,13,nov,72,1,-1,0,,no
59,housemaid,married,tertiary,no,0,no,no,telephone,13,nov,494,1,-1,0,,yes
30,management,single,tertiary,no,1243,yes,no,telephone,13,nov,86,1,174,1,failure,no
32,management,married,tertiary,no,62,yes,no,telephone,13,nov,45,1,-1,0,,no
32,blue-collar,single,tertiary,no,700,no,no,,13,nov,90,1,-1,0,,yes
31,entrepreneur,single,secondary,no,0,no,no,telephone,13,nov,160,1,-1,0,,yes
49,admin.,married,secondary,no,3608,yes,no,,13,nov,231,1,-1,0,,yes
46,,married,,no,677,no,no,,13,nov,722,1,-1,0,,no
27,student,single,secondary,no,67,no,no,telephone,14,nov,239,1,-1,0,,yes
35,unemployed,single,secondary,no,127,yes,no,telephone,14,nov,162,1,-1,0,,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,nov,132,1,-1,0,,yes
57,blue-collar,married,,no,3585,no,no,telephone,14,nov,172,1,-1,0,,yes
58,management,married,tertiary,no,4152,yes,no,telephone,14,nov,160,1,-1,0,,yes
35,admin.,single,secondary,no,943,no,no,telephone,14,nov,24,1,-1,0,,no
30,technician,single,secondary,no,816,yes,no,,14,nov,179,1,-1,0,,yes
32,management,married,tertiary,no,937,no,no,,17,nov,76,1,-1,0,,no
44,entrepreneur,married,tertiary,no,1631,yes,no,cellular,17,nov,81,1,195,2,failure,no
57,blue-collar,married,secondary,no,5270,yes,no,telephone,17,nov,101,1,-1,0,,no
51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no
51,technician,married,secondary,no,58,yes,no,cellular,17,nov,79,1,129,2,failure,no
58,technician,married,secondary,no,-942,yes,no,cellular,17,nov,131,1,-1,0,,no
44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,no
54,admin.,married,secondary,no,4028,yes,no,cellular,17,nov,146,1,-1,0,,no
57,admin.,married,secondary,no,0,yes,no,telephone,17,nov,92,1,-1,0,,no
53,technician,married,secondary,no,910,no,no,cellular,17,nov,156,1,-1,0,,no
35,technician,married,secondary,no,1577,yes,yes,cellular,17,nov,53,1,-1,0,,no
41,management,married,tertiary,no,7028,no,no,cellular,17,nov,98,1,-1,0,,no
50,entrepreneur,married,secondary,no,665,no,no,telephone,17,nov,238,1,-1,0,,no
37,technician,married,secondary,no,421,yes,yes,cellular,17,nov,85,1,-1,0,,no
46,admin.,married,secondary,no,1252,yes,yes,cellular,17,nov,59,1,-1,0,,no
34,technician,single,secondary,no,105,yes,no,cellular,17,nov,303,1,196,2,failure,no
37,self-employed,married,secondary,no,8230,yes,no,cellular,17,nov,51,1,-1,0,,no
35,management,married,tertiary,no,94,yes,no,,17,nov,108,1,-1,0,,no
49,blue-collar,divorced,primary,no,514,no,no,cellular,17,nov,221,1,-1,0,,no
42,management,married,secondary,no,71,no,no,cellular,17,nov,80,1,-1,0,,no
49,management,married,tertiary,no,1533,no,no,cellular,17,nov,324,1,172,1,failure,no
40,services,divorced,,no,5847,no,no,telephone,17,nov,206,1,-1,0,,no
42,self-employed,married,tertiary,no,4960,no,no,cellular,17,nov,139,1,-1,0,,no
49,retired,married,secondary,no,8648,no,no,cellular,17,nov,527,1,-1,0,,no
47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,no
40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,no
36,technician,divorced,secondary,no,3296,yes,no,cellular,17,nov,130,1,-1,0,,no
47,technician,married,tertiary,no,0,no,no,cellular,17,nov,120,1,-1,0,,no
43,technician,divorced,secondary,no,1648,no,no,cellular,17,nov,80,1,-1,0,,no
56,management,married,tertiary,no,6798,yes,no,cellular,17,nov,250,1,-1,0,,no
55,management,married,tertiary,no,1402,yes,no,cellular,17,nov,66,1,-1,0,,no
54,blue-collar,married,primary,no,69,no,no,cellular,17,nov,71,1,-1,0,,no
33,services,single,secondary,no,200,yes,no,cellular,17,nov,252,1,-1,0,,no
56,management,married,tertiary,no,5282,no,no,cellular,17,nov,113,1,-1,0,,no
52,management,married,primary,no,0,yes,yes,cellular,17,nov,121,1,-1,0,,no
45,self-employed,married,tertiary,no,582,no,no,cellular,17,nov,148,1,-1,0,,no
51,technician,married,secondary,no,195,yes,no,cellular,17,nov,78,1,-1,0,,no
57,management,married,secondary,no,7162,no,no,cellular,17,nov,83,1,-1,0,,no
57,management,married,tertiary,no,1636,no,no,cellular,17,nov,123,1,-1,0,,no
58,retired,married,secondary,no,425,yes,yes,cellular,17,nov,100,1,-1,0,,no
55,entrepreneur,married,primary,no,199,no,no,cellular,17,nov,176,1,-1,0,,no
45,management,married,tertiary,no,1323,yes,no,cellular,17,nov,550,1,-1,0,,no
48,management,married,tertiary,no,3419,yes,no,cellular,17,nov,75,1,-1,0,,no
55,retired,married,secondary,no,103,yes,yes,cellular,17,nov,57,1,-1,0,,no
47,management,married,tertiary,no,1028,no,yes,cellular,17,nov,55,1,-1,0,,no
48,management,divorced,secondary,no,17,yes,no,cellular,17,nov,195,1,-1,0,,no
39,admin.,married,secondary,no,2598,no,no,cellular,17,nov,123,1,-1,0,,no
47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
40,self-employed,single,tertiary,no,1693,yes,no,cellular,17,nov,353,1,-1,0,,no
37,management,single,tertiary,no,411,yes,yes,cellular,17,nov,142,1,-1,0,,no
50,management,married,tertiary,no,4278,no,no,cellular,17,nov,53,1,-1,0,,no
38,management,married,tertiary,no,494,no,no,cellular,17,nov,146,1,104,2,other,no
59,admin.,married,secondary,no,231,no,yes,cellular,17,nov,59,1,-1,0,,no
54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
32,management,married,tertiary,no,2516,no,no,cellular,17,nov,595,1,-1,0,,no
52,management,married,tertiary,no,1701,yes,yes,cellular,17,nov,381,1,117,2,other,no
48,admin.,divorced,secondary,no,295,yes,no,cellular,17,nov,123,1,164,2,success,no
52,admin.,married,secondary,no,1274,yes,no,cellular,17,nov,74,1,-1,0,,no
57,admin.,divorced,secondary,no,1878,yes,no,cellular,17,nov,219,1,-1,0,,no
43,services,married,secondary,no,3305,yes,no,cellular,17,nov,387,1,-1,0,,no
45,technician,married,secondary,no,1,yes,no,cellular,17,nov,433,1,-1,0,,no
30,management,single,secondary,no,2785,no,yes,cellular,17,nov,548,1,-1,0,,no
46,management,married,primary,no,-292,yes,no,telephone,17,nov,100,1,-1,0,,no
40,management,married,tertiary,no,8969,yes,no,cellular,17,nov,153,1,-1,0,,no
52,management,married,tertiary,no,2901,no,no,cellular,17,nov,223,2,-1,0,,no
53,technician,married,secondary,no,65,no,no,cellular,17,nov,178,1,-1,0,,no
49,services,married,secondary,no,1114,no,no,cellular,17,nov,283,1,-1,0,,no
45,technician,married,secondary,no,1477,yes,no,cellular,17,nov,75,1,132,1,failure,no
54,technician,married,secondary,no,465,yes,yes,cellular,17,nov,92,1,-1,0,,no
49,services,married,secondary,no,0,yes,no,telephone,17,nov,96,1,-1,0,,no
39,admin.,married,secondary,no,401,yes,no,cellular,17,nov,396,1,129,2,failure,no
39,blue-collar,married,primary,no,3324,no,no,cellular,17,nov,96,1,131,1,failure,no
54,blue-collar,married,primary,no,2440,no,yes,cellular,17,nov,334,1,-1,0,,no
57,technician,married,tertiary,no,0,yes,yes,cellular,17,nov,142,1,-1,0,,no
37,management,married,tertiary,yes,0,no,no,cellular,17,nov,44,1,123,2,failure,no
42,housemaid,married,secondary,no,477,yes,yes,cellular,17,nov,231,2,-1,0,,no
39,entrepreneur,married,tertiary,no,1654,no,no,cellular,17,nov,376,1,-1,0,,no
57,housemaid,married,secondary,no,0,no,no,cellular,17,nov,56,1,-1,0,,no
48,technician,married,primary,no,4656,no,no,cellular,17,nov,44,1,-1,0,,no
46,management,married,tertiary,no,191,yes,no,cellular,17,nov,58,1,-1,0,,no
39,blue-collar,married,primary,no,108,no,no,cellular,17,nov,265,1,-1,0,,no
49,management,married,tertiary,no,64,no,no,cellular,17,nov,208,1,159,1,success,no
58,admin.,married,,no,0,yes,no,cellular,17,nov,219,1,186,2,failure,no
43,technician,married,secondary,no,1865,yes,no,cellular,17,nov,155,1,186,1,failure,no
48,technician,married,secondary,no,17,yes,yes,cellular,17,nov,81,1,-1,0,,no
44,management,married,tertiary,no,1034,no,no,cellular,17,nov,73,1,-1,0,,no
49,technician,divorced,secondary,no,7,yes,yes,cellular,17,nov,50,1,-1,0,,no
37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,,yes
44,technician,divorced,secondary,no,275,no,no,cellular,17,nov,1077,1,-1,0,,yes
40,technician,married,secondary,no,17,no,no,telephone,17,nov,192,1,-1,0,,no
43,management,married,tertiary,no,0,yes,no,cellular,17,nov,110,1,-1,0,,no
57,blue-collar,married,secondary,no,1540,yes,no,cellular,17,nov,564,1,-1,0,,yes
34,blue-collar,married,secondary,no,751,yes,yes,cellular,17,nov,1303,1,-1,0,,yes
31,entrepreneur,single,tertiary,no,1454,no,no,cellular,17,nov,377,1,-1,0,,no
58,management,married,tertiary,no,2764,no,no,cellular,17,nov,235,1,-1,0,,no
30,management,married,tertiary,no,5381,no,no,cellular,17,nov,375,1,-1,0,,no
50,entrepreneur,married,secondary,no,0,yes,yes,cellular,17,nov,344,1,-1,0,,no
57,retired,married,secondary,no,1749,no,no,cellular,17,nov,288,2,-1,0,,no
40,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,57,1,-1,0,,no
39,management,married,secondary,no,313,yes,no,cellular,17,nov,125,1,-1,0,,no
33,admin.,married,secondary,no,0,yes,no,cellular,17,nov,78,1,-1,0,,no
41,management,married,tertiary,no,1272,yes,no,cellular,17,nov,214,1,-1,0,,no
38,management,married,tertiary,no,1875,no,no,cellular,17,nov,286,1,-1,0,,no
46,admin.,divorced,secondary,no,-60,no,no,cellular,17,nov,117,1,-1,0,,no
59,technician,single,secondary,no,6284,yes,no,cellular,17,nov,41,1,-1,0,,no
44,admin.,divorced,secondary,no,0,no,no,cellular,17,nov,57,1,-1,0,,no
57,technician,married,secondary,no,1469,yes,no,cellular,17,nov,364,1,-1,0,,no
49,entrepreneur,married,secondary,no,2655,no,no,cellular,17,nov,63,1,-1,0,,no
57,admin.,married,primary,no,1694,yes,no,telephone,17,nov,378,1,-1,0,,no
51,technician,married,tertiary,no,0,no,no,telephone,17,nov,81,1,-1,0,,no
58,entrepreneur,married,secondary,no,318,yes,no,cellular,17,nov,430,1,-1,0,,no
48,blue-collar,married,primary,no,0,no,yes,cellular,17,nov,479,1,-1,0,,no
35,technician,divorced,tertiary,no,1718,yes,yes,cellular,17,nov,74,1,167,16,other,no
49,services,married,secondary,no,1084,yes,no,telephone,17,nov,99,1,-1,0,,no
54,management,married,secondary,yes,5249,yes,no,cellular,17,nov,108,1,-1,0,,no
55,management,married,secondary,no,2410,yes,no,cellular,17,nov,135,1,-1,0,,no
50,management,married,secondary,no,633,no,yes,telephone,17,nov,302,1,111,6,failure,no
42,technician,single,tertiary,no,35,yes,yes,cellular,17,nov,38,1,115,5,other,no
38,entrepreneur,married,secondary,no,0,yes,yes,cellular,17,nov,258,1,-1,0,,no
37,technician,married,tertiary,no,0,yes,no,cellular,17,nov,77,1,-1,0,,no
49,management,married,tertiary,no,17432,no,no,cellular,17,nov,102,1,-1,0,,no
47,blue-collar,married,secondary,no,4403,yes,yes,,17,nov,81,1,-1,0,,no
46,blue-collar,married,secondary,no,0,yes,no,cellular,17,nov,127,1,-1,0,,no
52,management,married,tertiary,no,2063,yes,no,cellular,17,nov,114,1,-1,0,,no
42,technician,married,secondary,no,69,yes,yes,cellular,17,nov,55,1,-1,0,,no
33,technician,married,tertiary,no,326,yes,no,cellular,17,nov,238,1,-1,0,,no
47,blue-collar,married,secondary,no,410,yes,yes,cellular,17,nov,179,1,-1,0,,no
51,admin.,married,secondary,no,113,yes,no,cellular,17,nov,84,1,-1,0,,no
56,retired,married,secondary,no,2749,yes,yes,cellular,17,nov,38,1,172,2,failure,no
51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
55,management,married,tertiary,no,926,yes,no,cellular,17,nov,309,1,-1,0,,no
40,services,single,secondary,no,856,yes,no,telephone,17,nov,70,1,-1,0,,no
50,technician,single,secondary,no,246,yes,no,cellular,17,nov,270,1,123,2,failure,no
48,technician,married,secondary,no,32,yes,yes,cellular,17,nov,110,2,-1,0,,no
54,blue-collar,married,primary,no,209,no,yes,,17,nov,206,1,-1,0,,no
41,entrepreneur,divorced,tertiary,no,0,yes,no,cellular,17,nov,176,1,-1,0,,no
42,technician,married,secondary,no,4466,no,no,cellular,17,nov,158,2,-1,0,,no
54,blue-collar,married,secondary,no,0,no,no,telephone,17,nov,483,1,-1,0,,no
58,management,married,tertiary,no,7387,no,no,telephone,17,nov,85,1,-1,0,,no
50,entrepreneur,married,tertiary,no,5420,yes,no,cellular,17,nov,73,1,-1,0,,no
45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
46,technician,single,tertiary,no,1448,no,no,cellular,17,nov,292,1,-1,0,,no
49,admin.,married,secondary,no,272,yes,yes,cellular,17,nov,108,1,-1,0,,no
40,services,divorced,secondary,no,5766,yes,yes,cellular,17,nov,68,2,173,1,failure,no
30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,no
50,management,married,tertiary,no,4,yes,yes,telephone,17,nov,105,3,-1,0,,no
58,management,divorced,tertiary,no,0,no,no,cellular,17,nov,107,1,-1,0,,no
39,management,married,tertiary,no,500,yes,no,cellular,17,nov,257,1,178,2,other,no
36,management,married,tertiary,no,5057,yes,no,cellular,17,nov,70,1,166,10,failure,no
34,student,single,,no,5827,no,no,cellular,17,nov,97,2,-1,0,,no
41,management,single,tertiary,no,3013,yes,no,cellular,17,nov,150,1,-1,0,,no
59,admin.,married,,no,283,no,yes,,17,nov,300,1,-1,0,,no
52,services,married,tertiary,no,3094,yes,no,cellular,17,nov,96,1,-1,0,,no
40,management,married,tertiary,no,5010,no,no,cellular,17,nov,49,1,-1,0,,no
58,admin.,married,secondary,no,4962,no,yes,cellular,17,nov,112,1,-1,0,,no
54,admin.,divorced,secondary,no,7089,no,no,telephone,17,nov,40,1,-1,0,,no
46,blue-collar,married,secondary,no,2348,no,no,cellular,17,nov,182,1,-1,0,,no
50,management,married,tertiary,no,2479,no,no,cellular,17,nov,259,1,-1,0,,no
54,admin.,married,secondary,no,865,yes,no,cellular,17,nov,71,1,-1,0,,no
56,retired,married,secondary,no,450,no,no,telephone,17,nov,16,1,-1,0,,no
34,housemaid,married,tertiary,no,1265,yes,no,cellular,17,nov,118,1,164,3,failure,no
57,admin.,single,secondary,no,738,no,no,cellular,17,nov,56,1,-1,0,,no
54,admin.,married,secondary,no,191,yes,yes,telephone,17,nov,44,1,-1,0,,no
48,management,single,tertiary,no,8106,no,no,,17,nov,125,1,111,3,failure,no
45,technician,divorced,secondary,no,30,yes,yes,cellular,17,nov,88,1,-1,0,,no
51,services,divorced,secondary,no,518,yes,no,telephone,17,nov,76,1,-1,0,,no
56,management,married,primary,no,-155,yes,no,cellular,17,nov,282,1,-1,0,,no
59,management,married,tertiary,no,0,no,no,cellular,17,nov,90,2,110,2,failure,no
49,admin.,married,secondary,no,12226,yes,no,cellular,17,nov,96,2,-1,0,,no
52,admin.,divorced,secondary,no,48,no,yes,cellular,17,nov,591,1,-1,0,,no
53,services,married,secondary,no,1364,no,no,cellular,17,nov,508,1,115,1,failure,no
42,self-employed,married,secondary,no,5564,no,no,cellular,17,nov,560,2,-1,0,,no
53,management,single,tertiary,no,720,yes,no,,17,nov,99,1,-1,0,,no
54,management,married,tertiary,no,14107,no,no,cellular,17,nov,98,1,-1,0,,no
56,management,divorced,tertiary,no,2126,yes,no,cellular,17,nov,131,1,-1,0,,no
46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure,no
52,retired,married,secondary,no,5423,no,yes,cellular,17,nov,93,1,115,1,failure,no
41,unemployed,divorced,tertiary,no,-198,yes,no,cellular,17,nov,165,1,-1,0,,no
40,technician,divorced,tertiary,no,1871,yes,no,cellular,17,nov,64,1,-1,0,,no
51,blue-collar,married,secondary,no,-355,yes,yes,cellular,17,nov,122,2,-1,0,,no
47,management,married,tertiary,no,3505,no,no,cellular,17,nov,434,2,-1,0,,yes
58,retired,married,secondary,no,8332,no,no,,17,nov,164,2,96,4,failure,no
50,admin.,married,secondary,no,1575,no,no,cellular,17,nov,407,1,-1,0,,no
56,technician,divorced,secondary,no,689,yes,no,cellular,17,nov,110,1,103,4,failure,no
