age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,campaign,pdays,previous,poutcome,season
31,management,single,tertiary,no,305,yes,no,unknown,28,may,more than once,never,never,unknown,spring
42,entrepreneur,married,tertiary,no,1068,yes,no,cellular,13,apr,once,plus 6 months,more than 5,failure,spring
31,blue-collar,single,secondary,no,53,yes,no,unknown,7,may,once,never,never,unknown,spring
50,management,divorced,tertiary,no,1349,yes,yes,cellular,28,jan,once,never,never,unknown,winter
33,management,married,tertiary,no,23,yes,yes,cellular,6,feb,once,never,never,unknown,winter
31,services,single,secondary,no,-250,no,yes,cellular,29,jan,more than once,never,never,unknown,winter
28,admin.,married,tertiary,no,364,yes,no,unknown,16,may,once,never,never,unknown,spring
40,admin.,single,tertiary,no,283,yes,no,cellular,20,apr,once,6 months,less than 5,failure,spring
26,services,single,secondary,no,302,yes,no,unknown,9,may,once,never,never,unknown,spring
54,blue-collar,divorced,secondary,no,1145,yes,no,cellular,7,may,more than once,never,never,unknown,spring
29,student,married,tertiary,no,10596,yes,no,cellular,12,apr,once,never,never,unknown,spring
29,management,single,tertiary,no,13,yes,no,cellular,15,may,more than once,never,never,unknown,spring
28,entrepreneur,single,unknown,no,1306,yes,no,unknown,19,may,more than once,never,never,unknown,spring
51,admin.,married,secondary,no,42,yes,no,cellular,13,may,more than once,never,never,unknown,spring
43,blue-collar,married,primary,no,17,yes,no,unknown,13,may,more than once,never,never,unknown,spring
57,blue-collar,married,secondary,no,1521,yes,yes,cellular,18,may,more than once,6 months,less than 5,failure,spring
36,management,married,tertiary,no,190,yes,no,cellular,5,feb,once,never,never,unknown,winter
55,housemaid,divorced,tertiary,no,6920,yes,no,unknown,6,may,more than once,never,never,unknown,spring
40,entrepreneur,married,tertiary,no,1729,yes,no,cellular,12,may,once,never,never,unknown,spring
56,retired,married,unknown,no,4391,yes,no,unknown,16,may,once,never,never,unknown,spring
43,blue-collar,married,primary,no,985,yes,no,cellular,16,apr,once,never,never,unknown,spring
41,self-employed,married,tertiary,no,6000,yes,no,cellular,15,may,more than once,6 months,less than 5,failure,spring
43,blue-collar,married,primary,no,517,yes,no,cellular,20,apr,more than once,plus 6 months,more than 5,failure,spring
50,blue-collar,married,secondary,no,253,yes,yes,cellular,5,may,more than once,never,never,unknown,spring
47,housemaid,single,primary,no,2785,yes,no,cellular,13,may,once,never,never,unknown,spring
71,retired,divorced,tertiary,no,780,no,no,telephone,22,apr,once,never,never,unknown,spring
36,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,may,more than once,plus 6 months,less than 5,success,spring
35,self-employed,married,tertiary,no,247,yes,no,unknown,12,may,more than once,never,never,unknown,spring
30,services,single,secondary,no,268,yes,no,cellular,8,may,more than once,never,never,unknown,spring
33,blue-collar,married,primary,no,331,yes,no,unknown,30,may,more than once,never,never,unknown,spring
27,technician,single,secondary,no,598,yes,no,cellular,18,may,more than once,never,never,unknown,spring
59,retired,married,primary,no,1064,yes,no,cellular,6,may,more than once,never,never,unknown,spring
28,management,single,secondary,no,967,yes,no,cellular,20,apr,once,plus 6 months,less than 5,failure,spring
32,blue-collar,single,unknown,no,258,yes,no,cellular,18,may,more than once,never,never,unknown,spring
37,blue-collar,married,unknown,no,897,yes,no,cellular,13,apr,more than once,plus 6 months,less than 5,failure,spring
33,blue-collar,married,secondary,no,1101,yes,no,cellular,6,apr,more than once,never,never,unknown,spring
25,blue-collar,single,secondary,no,217,yes,no,cellular,18,may,once,never,never,unknown,spring
35,admin.,single,secondary,no,111,yes,no,cellular,29,jan,once,plus 6 months,less than 5,failure,winter
25,student,single,secondary,no,1608,no,no,cellular,30,apr,more than once,never,never,unknown,spring
32,blue-collar,married,secondary,no,356,yes,no,cellular,8,may,more than once,never,never,unknown,spring
30,self-employed,single,tertiary,no,916,no,no,cellular,29,mar,more than once,6 months,less than 5,success,spring
46,management,married,unknown,no,2466,no,no,telephone,1,apr,more than once,plus 12 months,less than 5,failure,spring
35,blue-collar,married,secondary,no,503,yes,yes,unknown,9,may,more than once,never,never,unknown,spring
33,unemployed,single,tertiary,no,1716,yes,no,unknown,7,may,more than once,never,never,unknown,spring
55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,more than once,never,never,unknown,spring
35,blue-collar,married,primary,no,373,no,no,cellular,17,apr,more than once,never,never,unknown,spring
60,technician,married,primary,no,65,yes,no,unknown,9,may,more than once,never,never,unknown,spring
33,services,married,secondary,no,310,yes,no,unknown,8,may,more than once,never,never,unknown,spring
49,technician,married,primary,no,2343,yes,no,unknown,30,may,more than once,never,never,unknown,spring
37,management,married,secondary,no,10,no,yes,cellular,2,feb,once,plus 6 months,less than 5,failure,winter
58,retired,married,primary,no,745,yes,no,cellular,20,apr,once,never,never,unknown,spring
32,admin.,single,tertiary,no,594,yes,no,unknown,13,may,more than once,never,never,unknown,spring
54,management,married,tertiary,no,1624,no,no,cellular,12,may,more than once,plus 6 months,more than 5,success,spring
40,technician,single,tertiary,no,-89,yes,no,unknown,28,may,more than once,never,never,unknown,spring
37,blue-collar,married,primary,no,250,yes,no,cellular,20,apr,more than once,plus 6 months,less than 5,failure,spring
51,management,single,tertiary,no,2242,no,no,telephone,9,feb,more than once,never,never,unknown,winter
33,management,single,tertiary,no,2599,yes,no,unknown,23,may,more than once,never,never,unknown,spring
74,housemaid,married,unknown,no,161,no,no,telephone,2,apr,once,never,never,unknown,spring
26,management,single,tertiary,no,2786,no,no,cellular,23,mar,once,never,never,unknown,spring
26,unemployed,single,tertiary,no,77,no,no,cellular,26,apr,once,never,never,unknown,spring
34,services,married,secondary,no,279,yes,no,unknown,27,may,once,never,never,unknown,spring
26,management,single,tertiary,no,4116,yes,no,cellular,5,may,once,never,never,unknown,spring
31,management,married,tertiary,no,2937,yes,no,cellular,4,feb,once,never,never,unknown,winter
46,blue-collar,married,unknown,no,9328,yes,no,cellular,5,may,more than once,never,never,unknown,spring
50,blue-collar,married,primary,no,1164,yes,no,unknown,8,may,more than once,never,never,unknown,spring
44,management,married,tertiary,no,1058,no,no,cellular,11,mar,more than once,never,never,unknown,spring
32,management,single,tertiary,no,0,yes,no,cellular,5,may,once,never,never,unknown,spring
42,management,single,tertiary,no,1768,yes,no,unknown,8,may,more than once,never,never,unknown,spring
32,student,single,unknown,no,5969,no,no,cellular,6,feb,more than once,never,never,unknown,winter
35,services,single,secondary,no,1063,yes,yes,cellular,16,apr,once,never,never,unknown,spring
44,blue-collar,single,secondary,no,0,no,no,cellular,20,apr,once,never,never,unknown,spring
42,blue-collar,married,primary,yes,398,yes,no,unknown,16,may,more than once,never,never,unknown,spring
35,management,married,tertiary,no,5367,no,no,cellular,2,mar,once,never,never,unknown,spring
39,services,married,secondary,no,25,yes,yes,cellular,12,may,once,plus 6 months,less than 5,failure,spring
46,management,married,tertiary,no,-191,yes,no,cellular,5,feb,more than once,plus 6 months,less than 5,failure,winter
62,retired,married,secondary,no,243,no,no,cellular,25,jan,once,plus 6 months,less than 5,success,winter
30,technician,single,secondary,no,359,yes,no,cellular,7,may,once,plus 6 months,less than 5,failure,spring
49,blue-collar,married,primary,no,3652,yes,yes,cellular,11,may,once,plus 6 months,less than 5,other,spring
48,management,divorced,secondary,no,122,yes,no,telephone,7,may,once,never,never,unknown,spring
36,blue-collar,married,secondary,no,406,yes,no,unknown,8,may,more than once,never,never,unknown,spring
41,self-employed,married,secondary,no,28,yes,no,cellular,11,may,once,never,never,unknown,spring
50,housemaid,single,primary,no,1158,yes,no,cellular,3,feb,more than once,plus 6 months,less than 5,failure,winter
23,services,single,secondary,no,105,yes,yes,unknown,9,may,more than once,never,never,unknown,spring
29,blue-collar,single,secondary,no,228,no,no,cellular,5,feb,once,never,never,unknown,winter
28,admin.,married,secondary,no,-247,yes,yes,cellular,30,jan,once,plus 6 months,less than 5,failure,winter
50,management,married,tertiary,no,2488,yes,no,unknown,29,may,more than once,never,never,unknown,spring
42,blue-collar,married,secondary,no,166,yes,no,unknown,7,may,more than once,never,never,unknown,spring
34,management,married,tertiary,no,46,yes,no,unknown,5,may,more than once,never,never,unknown,spring
33,blue-collar,married,secondary,no,43,yes,no,cellular,14,may,more than once,plus 6 months,less than 5,failure,spring
46,admin.,married,primary,no,31,yes,no,unknown,15,may,once,never,never,unknown,spring
38,blue-collar,married,primary,no,1099,yes,no,cellular,15,may,more than once,never,never,unknown,spring
34,blue-collar,married,unknown,no,391,yes,yes,unknown,23,may,more than once,never,never,unknown,spring
46,admin.,single,secondary,no,148,yes,no,cellular,5,may,more than once,never,never,unknown,spring
24,technician,single,secondary,no,84,yes,no,unknown,27,may,once,never,never,unknown,spring
28,admin.,single,secondary,no,377,no,no,cellular,30,apr,once,never,never,unknown,spring
34,technician,single,secondary,no,2131,yes,no,cellular,13,may,once,never,never,unknown,spring
36,blue-collar,married,secondary,no,4438,yes,no,unknown,20,may,once,never,never,unknown,spring
28,blue-collar,married,primary,no,4,yes,no,unknown,23,may,once,never,never,unknown,spring
24,student,single,secondary,no,493,yes,no,cellular,13,may,more than once,plus 6 months,less than 5,other,spring
47,technician,married,secondary,no,503,yes,no,unknown,6,may,more than once,never,never,unknown,spring
44,technician,married,secondary,no,-199,no,no,unknown,26,may,more than once,never,never,unknown,spring
36,services,single,secondary,no,365,no,no,cellular,4,may,once,never,never,unknown,spring
32,technician,married,secondary,no,0,yes,no,unknown,23,may,more than once,never,never,unknown,spring
50,management,married,unknown,no,5043,yes,yes,cellular,8,apr,once,never,never,unknown,spring
35,blue-collar,single,secondary,no,270,yes,no,cellular,17,apr,once,never,never,unknown,spring
34,blue-collar,married,unknown,no,-465,no,no,unknown,26,may,once,never,never,unknown,spring
35,unemployed,married,tertiary,no,1057,yes,no,cellular,8,apr,more than once,never,never,unknown,spring
32,blue-collar,married,secondary,no,333,yes,no,cellular,8,may,more than once,never,never,unknown,spring
31,blue-collar,married,primary,no,392,yes,no,cellular,14,may,more than once,plus 6 months,less than 5,failure,spring
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,once,never,never,unknown,spring
38,unemployed,married,tertiary,no,2012,no,no,cellular,7,apr,more than once,never,never,unknown,spring
32,services,married,secondary,no,1129,yes,no,cellular,15,apr,more than once,plus 6 months,less than 5,failure,spring
44,technician,married,secondary,no,596,yes,no,unknown,30,may,more than once,never,never,unknown,spring
57,blue-collar,married,primary,no,1460,no,no,unknown,13,may,more than once,never,never,unknown,spring
30,technician,married,tertiary,no,1307,no,no,cellular,18,dec,more than once,never,never,unknown,winter
31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,more than once,6 months,less than 5,failure,spring
36,blue-collar,divorced,primary,no,102,no,no,cellular,3,feb,more than once,never,never,unknown,winter
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,more than once,never,never,unknown,spring
33,housemaid,single,secondary,no,96,yes,no,cellular,14,may,more than once,never,never,unknown,spring
32,technician,single,tertiary,no,1212,yes,no,unknown,23,may,more than once,never,never,unknown,spring
31,technician,married,secondary,no,465,yes,no,cellular,12,may,more than once,never,never,unknown,spring
50,management,married,secondary,no,49,yes,no,unknown,5,may,more than once,never,never,unknown,spring
32,technician,single,tertiary,no,2340,no,no,cellular,26,may,once,6 months,less than 5,success,spring
34,blue-collar,married,secondary,no,529,yes,no,cellular,14,may,once,plus 6 months,less than 5,failure,spring
35,blue-collar,single,primary,no,21,yes,no,unknown,27,may,once,never,never,unknown,spring
33,self-employed,married,tertiary,no,627,yes,no,cellular,10,feb,more than once,never,never,unknown,winter
53,technician,married,secondary,no,757,no,no,cellular,4,feb,more than once,never,never,unknown,winter
33,management,single,secondary,no,1473,no,no,telephone,4,feb,once,never,never,unknown,winter
52,technician,single,secondary,no,36,yes,no,unknown,16,may,once,never,never,unknown,spring
27,admin.,single,tertiary,no,4991,yes,no,cellular,13,feb,once,never,never,unknown,winter
38,management,married,tertiary,no,1617,yes,no,cellular,16,apr,once,never,never,unknown,spring
57,services,married,primary,no,3990,yes,no,unknown,15,may,more than once,never,never,unknown,spring
38,management,married,tertiary,no,569,yes,no,cellular,6,feb,more than once,plus 6 months,less than 5,failure,winter
36,admin.,single,secondary,no,135,yes,no,cellular,29,jan,more than once,plus 6 months,less than 5,other,winter
45,services,divorced,secondary,no,396,yes,yes,cellular,1,apr,more than once,plus 6 months,less than 5,failure,spring
46,self-employed,married,secondary,no,0,no,no,unknown,29,may,once,never,never,unknown,spring
27,admin.,single,tertiary,no,144,yes,no,cellular,15,may,once,never,never,unknown,spring
36,admin.,married,secondary,no,788,yes,no,cellular,6,may,once,plus 6 months,less than 5,failure,spring
27,technician,married,secondary,no,2460,yes,no,cellular,15,may,more than once,never,never,unknown,spring
37,technician,single,secondary,no,194,yes,no,cellular,2,feb,once,never,never,unknown,winter
34,blue-collar,single,secondary,no,213,yes,no,cellular,11,may,once,plus 6 months,less than 5,failure,spring
54,retired,married,secondary,no,303,yes,no,cellular,20,apr,once,plus 6 months,less than 5,failure,spring
36,management,married,tertiary,no,340,yes,no,cellular,20,apr,more than once,never,never,unknown,spring
33,management,married,tertiary,no,812,no,no,cellular,22,dec,once,never,never,unknown,winter
45,unemployed,married,secondary,no,7203,no,no,cellular,30,apr,more than once,never,never,unknown,spring
53,services,divorced,secondary,no,765,yes,no,cellular,14,may,more than once,6 months,more than 5,other,spring
54,management,married,secondary,no,2895,yes,no,cellular,9,feb,more than once,plus 6 months,less than 5,failure,winter
45,technician,divorced,secondary,no,0,yes,no,unknown,27,may,more than once,never,never,unknown,spring
31,blue-collar,married,secondary,no,1787,yes,no,unknown,20,may,more than once,never,never,unknown,spring
33,blue-collar,single,primary,no,910,yes,no,cellular,20,apr,once,never,never,unknown,spring
45,management,divorced,primary,no,274,no,yes,cellular,4,feb,once,never,never,unknown,winter
32,services,single,secondary,no,187,yes,no,unknown,29,may,once,never,never,unknown,spring
29,technician,single,secondary,no,32,yes,yes,cellular,17,apr,once,never,never,unknown,spring
34,technician,single,secondary,no,692,yes,no,unknown,20,may,once,never,never,unknown,spring
42,technician,married,secondary,no,162,yes,no,cellular,11,may,once,never,never,unknown,spring
60,retired,married,primary,no,8025,no,no,cellular,28,jan,once,never,never,unknown,winter
41,services,married,primary,no,299,yes,no,unknown,14,may,once,never,never,unknown,spring
26,admin.,single,secondary,no,92,yes,no,unknown,13,may,once,never,never,unknown,spring
30,admin.,single,secondary,no,313,yes,no,cellular,4,feb,more than once,never,never,unknown,winter
30,services,single,secondary,no,297,yes,no,cellular,12,may,more than once,never,never,unknown,spring
33,blue-collar,single,secondary,no,1036,yes,yes,cellular,16,apr,more than once,plus 6 months,less than 5,failure,spring
31,management,married,tertiary,no,1183,yes,no,unknown,27,may,more than once,never,never,unknown,spring
33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,more than once,never,never,unknown,spring
41,management,married,secondary,no,6526,no,no,unknown,15,may,more than once,never,never,unknown,spring
37,unknown,single,secondary,no,57,yes,no,unknown,27,may,once,never,never,unknown,spring
39,management,single,tertiary,no,5047,no,no,cellular,29,apr,more than once,never,never,unknown,spring
57,retired,divorced,secondary,no,-331,yes,no,unknown,6,may,once,never,never,unknown,spring
30,unemployed,divorced,secondary,no,1144,yes,no,unknown,6,may,once,never,never,unknown,spring
33,blue-collar,divorced,primary,no,60,no,no,unknown,9,may,once,never,never,unknown,spring
29,admin.,single,secondary,no,-507,yes,no,unknown,16,may,once,never,never,unknown,spring
32,technician,married,secondary,no,175,yes,no,unknown,13,may,once,never,never,unknown,spring
22,self-employed,single,tertiary,no,780,no,no,cellular,17,mar,more than once,never,never,unknown,spring
48,services,married,secondary,no,116,yes,no,telephone,20,apr,more than once,never,never,unknown,spring
53,retired,married,secondary,no,352,yes,no,telephone,20,apr,more than once,never,never,unknown,spring
33,admin.,married,secondary,no,61,yes,yes,unknown,8,may,more than once,never,never,unknown,spring
32,services,married,secondary,no,687,no,no,cellular,14,may,more than once,plus 6 months,less than 5,other,spring
38,blue-collar,married,primary,no,668,no,no,unknown,8,may,once,never,never,unknown,spring
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,more than once,never,never,unknown,spring
28,services,single,secondary,no,2954,yes,no,unknown,28,may,more than once,never,never,unknown,spring
34,technician,married,secondary,no,904,no,no,cellular,6,feb,more than once,never,never,unknown,winter
36,technician,married,tertiary,no,911,yes,yes,cellular,25,may,more than once,6 months,less than 5,failure,spring
51,services,married,secondary,no,421,yes,no,cellular,15,apr,more than once,never,never,unknown,spring
37,management,married,tertiary,no,57,no,no,cellular,30,apr,more than once,6 months,less than 5,success,spring
55,entrepreneur,divorced,tertiary,no,903,yes,no,telephone,14,may,more than once,never,never,unknown,spring
49,self-employed,married,secondary,no,289,yes,no,cellular,2,feb,once,never,never,unknown,winter
41,technician,married,secondary,no,483,yes,no,unknown,9,may,once,never,never,unknown,spring
30,management,single,tertiary,no,3625,yes,no,unknown,23,may,more than once,never,never,unknown,spring
53,technician,single,tertiary,no,-167,yes,yes,cellular,2,feb,once,never,never,unknown,winter
60,housemaid,married,primary,no,182,no,no,cellular,26,apr,more than once,plus 6 months,less than 5,failure,spring
35,technician,single,secondary,no,317,yes,no,unknown,9,may,more than once,never,never,unknown,spring
49,self-employed,divorced,tertiary,no,0,no,no,cellular,4,feb,more than once,never,never,unknown,winter
43,management,married,tertiary,no,5670,yes,no,unknown,15,may,more than once,never,never,unknown,spring
43,blue-collar,divorced,secondary,no,338,yes,no,unknown,8,may,once,never,never,unknown,spring
26,blue-collar,single,secondary,no,100,yes,no,unknown,9,may,once,never,never,unknown,spring
60,retired,married,secondary,no,143,no,no,telephone,30,jan,once,never,never,unknown,winter
34,technician,married,secondary,no,4,yes,no,cellular,2,feb,more than once,plus 6 months,less than 5,failure,winter
53,admin.,divorced,tertiary,no,122,no,no,cellular,27,apr,once,never,never,unknown,spring
47,services,married,secondary,no,1160,yes,no,cellular,3,feb,more than once,plus 6 months,less than 5,failure,winter
49,technician,married,tertiary,no,2611,no,no,cellular,20,apr,more than once,never,never,unknown,spring
35,technician,married,secondary,no,-288,yes,yes,cellular,30,apr,more than once,never,never,unknown,spring
32,admin.,single,secondary,no,314,no,yes,cellular,23,apr,more than once,6 months,less than 5,other,spring
34,management,single,unknown,no,1534,yes,no,cellular,16,apr,once,6 months,more than 5,other,spring
41,admin.,divorced,tertiary,no,-298,yes,no,cellular,5,may,once,never,never,unknown,spring
32,blue-collar,single,secondary,no,1402,yes,no,cellular,7,may,more than once,plus 6 months,less than 5,other,spring
50,management,single,tertiary,no,486,no,yes,unknown,11,jan,once,never,never,unknown,winter
47,management,divorced,tertiary,no,10399,yes,no,unknown,15,may,more than once,never,never,unknown,spring
42,admin.,divorced,secondary,no,2133,yes,no,cellular,5,may,more than once,never,never,unknown,spring
50,unemployed,divorced,secondary,no,717,yes,no,cellular,30,jan,once,never,never,unknown,winter
41,self-employed,single,tertiary,no,3950,yes,no,unknown,30,may,more than once,never,never,unknown,spring
46,technician,married,secondary,no,-408,yes,yes,telephone,7,may,more than once,plus 6 months,less than 5,other,spring
57,management,married,secondary,no,657,yes,no,telephone,11,may,more than once,never,never,unknown,spring
46,technician,divorced,secondary,no,-154,yes,no,cellular,7,may,more than once,plus 6 months,less than 5,failure,spring
34,self-employed,married,secondary,no,47,no,no,cellular,4,feb,more than once,6 months,less than 5,failure,winter
57,unemployed,married,secondary,no,3867,yes,no,unknown,12,may,more than once,never,never,unknown,spring
69,retired,divorced,secondary,no,344,no,no,cellular,4,dec,more than once,never,never,unknown,winter
53,blue-collar,single,secondary,no,1004,no,no,cellular,13,may,once,6 months,less than 5,other,spring
36,services,married,secondary,no,115,no,no,unknown,21,may,once,never,never,unknown,spring
29,student,single,secondary,no,154,yes,no,cellular,13,may,more than once,plus 6 months,more than 5,failure,spring
23,student,single,secondary,no,480,no,no,cellular,9,feb,more than once,plus 6 months,less than 5,failure,winter
32,services,married,secondary,no,442,yes,no,unknown,8,may,once,never,never,unknown,spring
35,technician,single,tertiary,no,2043,yes,yes,unknown,23,may,more than once,never,never,unknown,spring
32,admin.,divorced,secondary,no,678,no,no,telephone,29,jan,more than once,never,never,unknown,winter
38,blue-collar,single,secondary,no,-329,yes,no,unknown,12,may,more than once,never,never,unknown,spring
54,blue-collar,married,primary,no,1357,yes,yes,cellular,5,may,more than once,plus 6 months,more than 5,other,spring
56,admin.,married,secondary,no,11,no,no,unknown,13,may,more than once,never,never,unknown,spring
33,blue-collar,single,secondary,no,3975,yes,yes,cellular,17,apr,once,6 months,less than 5,other,spring
25,services,married,secondary,no,51,yes,yes,cellular,7,may,more than once,plus 6 months,less than 5,failure,spring
62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,more than once,never,never,unknown,winter
26,technician,single,secondary,no,-211,yes,no,unknown,23,may,more than once,never,never,unknown,spring
36,technician,married,secondary,no,15485,no,no,cellular,14,apr,once,never,never,unknown,spring
28,admin.,single,secondary,no,157,no,no,cellular,27,may,more than once,never,never,unknown,spring
59,retired,married,secondary,no,5678,yes,no,unknown,14,may,more than once,never,never,unknown,spring
40,entrepreneur,divorced,secondary,no,201,yes,no,cellular,9,feb,more than once,never,never,unknown,winter
37,management,married,tertiary,no,591,yes,no,cellular,7,may,more than once,plus 6 months,less than 5,failure,spring
60,technician,married,secondary,no,2041,no,no,telephone,29,jan,once,plus 6 months,more than 5,failure,winter
34,services,married,tertiary,no,277,yes,no,cellular,17,apr,more than once,never,never,unknown,spring
46,blue-collar,married,primary,no,530,yes,no,unknown,6,may,more than once,never,never,unknown,spring
29,blue-collar,divorced,primary,no,2,yes,no,cellular,6,feb,more than once,never,never,unknown,winter
30,services,single,secondary,no,581,yes,no,cellular,15,may,once,plus 6 months,less than 5,other,spring
43,blue-collar,married,secondary,no,664,yes,no,cellular,9,apr,more than once,plus 6 months,less than 5,failure,spring
32,admin.,divorced,secondary,no,714,no,no,cellular,2,feb,once,never,never,unknown,winter
34,blue-collar,single,secondary,no,177,yes,no,unknown,8,may,once,never,never,unknown,spring
35,services,married,secondary,no,27,yes,yes,cellular,5,may,more than once,plus 6 months,less than 5,failure,spring
55,technician,married,secondary,no,517,yes,yes,unknown,19,may,more than once,never,never,unknown,spring
36,services,single,primary,no,58,yes,no,unknown,6,may,once,never,never,unknown,spring
72,retired,married,primary,no,3856,no,no,cellular,10,dec,more than once,6 months,less than 5,other,winter
49,admin.,single,secondary,no,716,yes,no,unknown,15,may,more than once,never,never,unknown,spring
40,retired,married,secondary,no,102,no,no,cellular,6,may,once,never,never,unknown,spring
35,management,married,tertiary,no,194,no,no,cellular,2,feb,more than once,never,never,unknown,winter
38,management,single,unknown,no,715,yes,no,cellular,2,apr,once,6 months,less than 5,failure,spring
